UbId,dep,pro,dis,nomUb
020508,02,05,08,Huallanca
020509,02,05,09,Huasta
020510,02,05,10,Huayllacayan
020511,02,05,11,La Primavera
020512,02,05,12,Mangas
020513,02,05,13,Pacllon
020514,02,05,14,San Miguel de Corpanqui
020515,02,05,15,Ticllos
020600,02,06,00,Carhuaz
020601,02,06,01,Carhuaz
020602,02,06,02,Acopampa
020603,02,06,03,Amashca
020604,02,06,04,Anta
020605,02,06,05,Ataquero
020606,02,06,06,Marcara
020607,02,06,07,Pariahuanca
020608,02,06,08,San Miguel de Aco
020609,02,06,09,Shilla
020610,02,06,10,Tinco
020611,02,06,11,Yungar
020700,02,07,00,Carlos Fermin Fitzcarrald
020701,02,07,01,San Luis
020702,02,07,02,San Nicolas
020703,02,07,03,Yauya
020800,02,08,00,Casma
020801,02,08,01,Casma
020802,02,08,02,Buena Vista Alta
020803,02,08,03,Comandante Noel
020804,02,08,04,Yautan
020900,02,09,00,Corongo
020901,02,09,01,Corongo
020902,02,09,02,Aco
020903,02,09,03,Bambas
020904,02,09,04,Cusca
020905,02,09,05,La Pampa
020906,02,09,06,Yanac
020907,02,09,07,Yupan
021000,02,10,00,Huari
021001,02,10,01,Huari
021002,02,10,02,Anra
021003,02,10,03,Cajay
021004,02,10,04,Chavin de Huantar
021005,02,10,05,Huacachi
021006,02,10,06,Huacchis
021007,02,10,07,Huachis
021008,02,10,08,Huantar
021009,02,10,09,Masin
021010,02,10,10,Paucas
021011,02,10,11,Ponto
021012,02,10,12,Rahuapampa
021013,02,10,13,Rapayan
021014,02,10,14,San Marcos
021015,02,10,15,San Pedro de Chana
021016,02,10,16,Uco
021100,02,11,00,Huarmey
021101,02,11,01,Huarmey
021102,02,11,02,Cochapeti
021103,02,11,03,Culebras
021104,02,11,04,Huayan
021105,02,11,05,Malvas
021200,02,12,00,Huaylas
021201,02,12,01,Caraz
021202,02,12,02,Huallanca
021203,02,12,03,Huata
021204,02,12,04,Huaylas
021205,02,12,05,Mato
021206,02,12,06,Pamparomas
021207,02,12,07,Pueblo Libre
021208,02,12,08,Santa Cruz
021209,02,12,09,Santo Toribio
021210,02,12,10,Yuracmarca
021300,02,13,00,Mariscal Luzuriaga
021301,02,13,01,Piscobamba
021302,02,13,02,Casca
021303,02,13,03,Eleazar Guzman Barron
021304,02,13,04,Fidel Olivas Escudero
021305,02,13,05,Llama
021306,02,13,06,Llumpa
021307,02,13,07,Lucma
021308,02,13,08,Musga
021400,02,14,00,Ocros
021401,02,14,01,Ocros
021402,02,14,02,Acas
021403,02,14,03,Cajamarquilla
021404,02,14,04,Carhuapampa
021405,02,14,05,Cochas
021406,02,14,06,Congas
021407,02,14,07,Llipa
021408,02,14,08,San Cristobal de Rajan
021409,02,14,09,San Pedro
021410,02,14,10,Santiago de Chilcas
021500,02,15,00,Pallasca
021501,02,15,01,Cabana
021502,02,15,02,Bolognesi
021503,02,15,03,Conchucos
021504,02,15,04,Huacaschuque
021505,02,15,05,Huandoval
021506,02,15,06,Lacabamba
021507,02,15,07,Llapo
021508,02,15,08,Pallasca
021509,02,15,09,Pampas
021510,02,15,10,Santa Rosa
021511,02,15,11,Tauca
021600,02,16,00,Pomabamba
021601,02,16,01,Pomabamba
021602,02,16,02,Huayllan
021603,02,16,03,Parobamba
021604,02,16,04,Quinuabamba
021700,02,17,00,Recuay
021701,02,17,01,Recuay
021702,02,17,02,Catac
021703,02,17,03,Cotaparaco
021704,02,17,04,Huayllapampa
021705,02,17,05,Llacllin
021706,02,17,06,Marca
021707,02,17,07,Pampas Chico
021708,02,17,08,Pararin
021709,02,17,09,Tapacocha
021710,02,17,10,Ticapampa
021800,02,18,00,Santa
021801,02,18,01,Chimbote
021802,02,18,02,Caceres del Peru
021803,02,18,03,Coishco
021804,02,18,04,Macate
021805,02,18,05,Moro
021806,02,18,06,Nepeña
021807,02,18,07,Samanco
021808,02,18,08,Santa
021809,02,18,09,Nuevo Chimbote
021900,02,19,00,Sihuas
021901,02,19,01,Sihuas
021902,02,19,02,Acobamba
021903,02,19,03,Alfonso Ugarte
021904,02,19,04,Cashapampa
021905,02,19,05,Chingalpo
021906,02,19,06,Huayllabamba
021907,02,19,07,Quiches
021908,02,19,08,Ragash
021909,02,19,09,San Juan
021910,02,19,10,Sicsibamba
022000,02,20,00,Yungay
022001,02,20,01,Yungay
022002,02,20,02,Cascapara
022003,02,20,03,Mancos
022004,02,20,04,Matacoto
022005,02,20,05,Quillo
022006,02,20,06,Ranrahirca
022007,02,20,07,Shupluy
022008,02,20,08,Yanama
030000,03,00,00,Apurimac
030100,03,01,00,Abancay
030101,03,01,01,Abancay
030102,03,01,02,Chacoche
030103,03,01,03,Circa
030104,03,01,04,Curahuasi
030105,03,01,05,Huanipaca
030106,03,01,06,Lambrama
030107,03,01,07,Pichirhua
030108,03,01,08,San Pedro de Cachora
030109,03,01,09,Tamburco
030200,03,02,00,Andahuaylas
030201,03,02,01,Andahuaylas
030202,03,02,02,Andarapa
030203,03,02,03,Chiara
030204,03,02,04,Huancarama
030205,03,02,05,Huancaray
030206,03,02,06,Huayana
030207,03,02,07,Kishuara
030208,03,02,08,Pacobamba
030209,03,02,09,Pacucha
030210,03,02,10,Pampachiri
030211,03,02,11,Pomacocha
030212,03,02,12,San Antonio de Cachi
030213,03,02,13,San Jeronimo
030214,03,02,14,San Miguel de Chaccrampa
030215,03,02,15,Santa Maria de Chicmo
030216,03,02,16,Talavera
030217,03,02,17,Tumay Huaraca
030218,03,02,18,Turpo
030219,03,02,19,Kaquiabamba
030300,03,03,00,Antabamba
030301,03,03,01,Antabamba
030302,03,03,02,El Oro
030303,03,03,03,Huaquirca
030304,03,03,04,Juan Espinoza Medrano
030305,03,03,05,Oropesa
030306,03,03,06,Pachaconas
030307,03,03,07,Sabaino
030400,03,04,00,Aymaraes
030401,03,04,01,Chalhuanca
030402,03,04,02,Capaya
030403,03,04,03,Caraybamba
030404,03,04,04,Chapimarca
030405,03,04,05,Colcabamba
030406,03,04,06,Cotaruse
030407,03,04,07,Huayllo
030408,03,04,08,Justo Apu Sahuaraura
030409,03,04,09,Lucre
030410,03,04,10,Pocohuanca
030411,03,04,11,San Juan de Chacña
030412,03,04,12,Sañayca
030413,03,04,13,Soraya
030414,03,04,14,Tapairihua
030415,03,04,15,Tintay
030416,03,04,16,Toraya
030417,03,04,17,Yanaca
030500,03,05,00,Cotabambas
030501,03,05,01,Tambobamba
030502,03,05,02,Cotabambas
030503,03,05,03,Coyllurqui
030504,03,05,04,Haquira
030505,03,05,05,Mara
030506,03,05,06,Challhuahuacho
030600,03,06,00,Chincheros
030601,03,06,01,Chincheros
030602,03,06,02,Anco-Huallo
030603,03,06,03,Cocharcas
030604,03,06,04,Huaccana
030605,03,06,05,Ocobamba
030606,03,06,06,Ongoy
030607,03,06,07,Uranmarca
030608,03,06,08,Ranracancha
030700,03,07,00,Grau
030701,03,07,01,Chuquibambilla
030702,03,07,02,Curpahuasi
030703,03,07,03,Gamarra
030704,03,07,04,Huayllati
030705,03,07,05,Mamara
030706,03,07,06,Micaela Bastidas
030707,03,07,07,Pataypampa
030708,03,07,08,Progreso
030709,03,07,09,San Antonio
030710,03,07,10,Santa Rosa
030711,03,07,11,Turpay
030712,03,07,12,Vilcabamba
030713,03,07,13,Virundo
030714,03,07,14,Curasco
040000,04,00,00,Arequipa
040100,04,01,00,Arequipa
040101,04,01,01,Arequipa
040102,04,01,02,Alto Selva Alegre
040103,04,01,03,Cayma
040104,04,01,04,Cerro Colorado
040105,04,01,05,Characato
040106,04,01,06,Chiguata
040107,04,01,07,Jacobo Hunter
040108,04,01,08,La Joya
040109,04,01,09,Mariano Melgar
040110,04,01,10,Miraflores
040111,04,01,11,Mollebaya
040112,04,01,12,Paucarpata
040113,04,01,13,Pocsi
040114,04,01,14,Polobaya
040115,04,01,15,Quequeña
040116,04,01,16,Sabandia
040117,04,01,17,Sachaca
040118,04,01,18,San Juan de Siguas
040119,04,01,19,San Juan de Tarucani
040120,04,01,20,Santa Isabel de Siguas
040121,04,01,21,Santa Rita de Siguas
040122,04,01,22,Socabaya
040123,04,01,23,Tiabaya
040124,04,01,24,Uchumayo
040125,04,01,25,Vitor
040126,04,01,26,Yanahuara
040127,04,01,27,Yarabamba
040128,04,01,28,Yura
040129,04,01,29,Jose Luis Bustamante y Rivero
040200,04,02,00,Camana
040201,04,02,01,Camana
040202,04,02,02,Jose Maria Quimper
040203,04,02,03,Mariano Nicolas Valcarcel
040204,04,02,04,Mariscal Caceres
040205,04,02,05,Nicolas de Pierola
040206,04,02,06,Ocoña
040207,04,02,07,Quilca
040208,04,02,08,Samuel Pastor
040300,04,03,00,Caraveli
040301,04,03,01,Caraveli
040302,04,03,02,Acari
040303,04,03,03,Atico
040304,04,03,04,Atiquipa
040305,04,03,05,Bella Union
040306,04,03,06,Cahuacho
040307,04,03,07,Chala
040308,04,03,08,Chaparra
040309,04,03,09,Huanuhuanu
040310,04,03,10,Jaqui
040311,04,03,11,Lomas
040312,04,03,12,Quicacha
040313,04,03,13,Yauca
040400,04,04,00,Castilla
040401,04,04,01,Aplao
040402,04,04,02,Andagua
040403,04,04,03,Ayo
040404,04,04,04,Chachas
040405,04,04,05,Chilcaymarca
040406,04,04,06,Choco
040407,04,04,07,Huancarqui
040408,04,04,08,Machaguay
040409,04,04,09,Orcopampa
040410,04,04,10,Pampacolca
040411,04,04,11,Tipan
040412,04,04,12,Uñon
040413,04,04,13,Uraca
040414,04,04,14,Viraco
040500,04,05,00,Caylloma
040501,04,05,01,Chivay
040502,04,05,02,Achoma
040503,04,05,03,Cabanaconde
040504,04,05,04,Callalli
040505,04,05,05,Caylloma
040506,04,05,06,Coporaque
040507,04,05,07,Huambo
040508,04,05,08,Huanca
040509,04,05,09,Ichupampa
040510,04,05,10,Lari
040511,04,05,11,Lluta
040512,04,05,12,Maca
040513,04,05,13,Madrigal
040514,04,05,14,San Antonio de Chuca
040515,04,05,15,Sibayo
040516,04,05,16,Tapay
040517,04,05,17,Tisco
040518,04,05,18,Tuti
040519,04,05,19,Yanque
040520,04,05,20,Majes
040600,04,06,00,Condesuyos
040601,04,06,01,Chuquibamba
040602,04,06,02,Andaray
040603,04,06,03,Cayarani
040604,04,06,04,Chichas
040605,04,06,05,Iray
040606,04,06,06,Rio Grande
040607,04,06,07,Salamanca
040608,04,06,08,Yanaquihua
040700,04,07,00,Islay
040701,04,07,01,Mollendo
040702,04,07,02,Cocachacra
040703,04,07,03,Dean Valdivia
040704,04,07,04,Islay
040705,04,07,05,Mejia
040706,04,07,06,Punta de Bombon
040800,04,08,00,La Union
040801,04,08,01,Cotahuasi
040802,04,08,02,Alca
040803,04,08,03,Charcana
040804,04,08,04,Huaynacotas
040805,04,08,05,Pampamarca
040806,04,08,06,Puyca
040807,04,08,07,Quechualla
040808,04,08,08,Sayla
040809,04,08,09,Tauria
040810,04,08,10,Tomepampa
040811,04,08,11,Toro
050000,05,00,00,Ayacucho
050100,05,01,00,Huamanga
050101,05,01,01,Ayacucho
050102,05,01,02,Acocro
050103,05,01,03,Acos Vinchos
050104,05,01,04,Carmen Alto
050105,05,01,05,Chiara
050106,05,01,06,Ocros
050107,05,01,07,Pacaycasa
050108,05,01,08,Quinua
050109,05,01,09,San Jose de Ticllas
050110,05,01,10,San Juan Bautista
050111,05,01,11,Santiago de Pischa
050112,05,01,12,Socos
050113,05,01,13,Tambillo
050114,05,01,14,Vinchos
050115,05,01,15,Jesús Nazareno
050116,05,01,16,Andrés Avelino Cáceres Dorregay
050200,05,02,00,Cangallo
050201,05,02,01,Cangallo
050202,05,02,02,Chuschi
050203,05,02,03,Los Morochucos
050204,05,02,04,Maria Parado de Bellido
050205,05,02,05,Paras
050206,05,02,06,Totos
050300,05,03,00,Huanca Sancos
050301,05,03,01,Sancos
050302,05,03,02,Carapo
050303,05,03,03,Sacsamarca
050304,05,03,04,Santiago de Lucanamarca
050400,05,04,00,Huanta
050401,05,04,01,Huanta
050402,05,04,02,Ayahuanco
050403,05,04,03,Huamanguilla
050404,05,04,04,Iguain
050405,05,04,05,Luricocha
050406,05,04,06,Santillana
050407,05,04,07,Sivia
050408,05,04,08,Llochegua
050409,05,04,09,Canayre
050410,05,04,10,Uchuraccay
050411,05,04,11,Pucacolpa
050500,05,05,00,La Mar
050501,05,05,01,San Miguel
050502,05,05,02,Anco
050503,05,05,03,Ayna
050504,05,05,04,Chilcas
050505,05,05,05,Chungui
050506,05,05,06,Luis Carranza
050507,05,05,07,Santa Rosa
050508,05,05,08,Tambo
050509,05,05,09,Samugari
050510,05,05,10,Anchihuay
050600,05,06,00,Lucanas
050601,05,06,01,Puquio
050602,05,06,02,Aucara
050603,05,06,03,Cabana
050604,05,06,04,Carmen Salcedo
050605,05,06,05,Chaviña
050606,05,06,06,Chipao
050607,05,06,07,Huac-Huas
050608,05,06,08,Laramate
050609,05,06,09,Leoncio Prado
050610,05,06,10,Llauta
050611,05,06,11,Lucanas
050612,05,06,12,Ocaña
050613,05,06,13,Otoca
050614,05,06,14,Saisa
050615,05,06,15,San Cristobal
050616,05,06,16,San Juan
050617,05,06,17,San Pedro
050618,05,06,18,San Pedro de Palco
050619,05,06,19,Sancos
050620,05,06,20,Santa Ana de Huaycahuacho
050621,05,06,21,Santa Lucia
050700,05,07,00,Parinacochas
050701,05,07,01,Coracora
050702,05,07,02,Chumpi
050703,05,07,03,Coronel Castañeda
050704,05,07,04,Pacapausa
050705,05,07,05,Pullo
050706,05,07,06,Puyusca
050707,05,07,07,San Francisco de Ravacayco
050708,05,07,08,Upahuacho
050800,05,08,00,Paucar del Sara Sara
050801,05,08,01,Pausa
050802,05,08,02,Colta
050803,05,08,03,Corculla
050804,05,08,04,Lampa
050805,05,08,05,Marcabamba
050806,05,08,06,Oyolo
050807,05,08,07,Pararca
050808,05,08,08,San Javier de Alpabamba
050809,05,08,09,San Jose de Ushua
050810,05,08,10,Sara Sara
050900,05,09,00,Sucre
050901,05,09,01,Querobamba
050902,05,09,02,Belen
050903,05,09,03,Chalcos
050904,05,09,04,Chilcayoc
050905,05,09,05,Huacaña
050906,05,09,06,Morcolla
050907,05,09,07,Paico
050908,05,09,08,San Pedro de Larcay
050909,05,09,09,San Salvador de Quije
050910,05,09,10,Santiago de Paucaray
050911,05,09,11,Soras
051000,05,10,00,Victor Fajardo
051001,05,10,01,Huancapi
051002,05,10,02,Alcamenca
051003,05,10,03,Apongo
051004,05,10,04,Asquipata
051005,05,10,05,Canaria
051006,05,10,06,Cayara
051007,05,10,07,Colca
051008,05,10,08,Huamanquiquia
051009,05,10,09,Huancaraylla
051010,05,10,10,Huaya
051011,05,10,11,Sarhua
051012,05,10,12,Vilcanchos
051100,05,11,00,Vilcas Huaman
051101,05,11,01,Vilcas Huaman
051102,05,11,02,Accomarca
051103,05,11,03,Carhuanca
051104,05,11,04,Concepcion
051105,05,11,05,Huambalpa
051106,05,11,06,Independencia
051107,05,11,07,Saurama
051108,05,11,08,Vischongo
060000,06,00,00,Cajamarca
060100,06,01,00,Cajamarca
060101,06,01,01,Cajamarca
060102,06,01,02,Asuncion
060103,06,01,03,Chetilla
060104,06,01,04,Cospan
060105,06,01,05,Encañada
060106,06,01,06,Jesus
060107,06,01,07,Llacanora
060108,06,01,08,Los Baños del Inca
060109,06,01,09,Magdalena
060110,06,01,10,Matara
060111,06,01,11,Namora
060112,06,01,12,San Juan
060200,06,02,00,Cajabamba
060201,06,02,01,Cajabamba
060202,06,02,02,Cachachi
060203,06,02,03,Condebamba
060204,06,02,04,Sitacocha
060300,06,03,00,Celendin
060301,06,03,01,Celendin
060302,06,03,02,Chumuch
060303,06,03,03,Cortegana
060304,06,03,04,Huasmin
060305,06,03,05,Jorge Chavez
060306,06,03,06,Jose Galvez
060307,06,03,07,Miguel Iglesias
060308,06,03,08,Oxamarca
060309,06,03,09,Sorochuco
060310,06,03,10,Sucre
060311,06,03,11,Utco
060312,06,03,12,La Libertad de Pallan
060400,06,04,00,Chota
060401,06,04,01,Chota
060402,06,04,02,Anguia
060403,06,04,03,Chadin
060404,06,04,04,Chiguirip
060405,06,04,05,Chimban
060406,06,04,06,Choropampa
060407,06,04,07,Cochabamba
060408,06,04,08,Conchan
060409,06,04,09,Huambos
060410,06,04,10,Lajas
060411,06,04,11,Llama
060412,06,04,12,Miracosta
060413,06,04,13,Paccha
060414,06,04,14,Pion
060415,06,04,15,Querocoto
060416,06,04,16,San Juan de Licupis
060417,06,04,17,Tacabamba
060418,06,04,18,Tocmoche
060419,06,04,19,Chalamarca
060500,06,05,00,Contumaza
060501,06,05,01,Contumaza
060502,06,05,02,Chilete
060503,06,05,03,Cupisnique
060504,06,05,04,Guzmango
060505,06,05,05,San Benito
060506,06,05,06,Santa Cruz de Toled
060507,06,05,07,Tantarica
060508,06,05,08,Yonan
060600,06,06,00,Cutervo
060601,06,06,01,Cutervo
060602,06,06,02,Callayuc
060603,06,06,03,Choros
060604,06,06,04,Cujillo
060605,06,06,05,La Ramada
060606,06,06,06,Pimpingos
060607,06,06,07,Querocotillo
060608,06,06,08,San Andres de Cutervo
060609,06,06,09,San Juan de Cutervo
060610,06,06,10,San Luis de Lucma
060611,06,06,11,Santa Cruz
060612,06,06,12,Santo Domingo de la Capilla
060613,06,06,13,Santo Tomas
060614,06,06,14,Socota
060615,06,06,15,Toribio Casanova
060700,06,07,00,Hualgayoc
060701,06,07,01,Bambamarca
060702,06,07,02,Chugur
060703,06,07,03,Hualgayoc
060800,06,08,00,Jaen
060801,06,08,01,Jaen
060802,06,08,02,Bellavista
060803,06,08,03,Chontali
060804,06,08,04,Colasay
060805,06,08,05,Huabal
060806,06,08,06,Las Pirias
060807,06,08,07,Pomahuaca
060808,06,08,08,Pucara
060809,06,08,09,Sallique
060810,06,08,10,San Felipe
060811,06,08,11,San Jose del Alto
060812,06,08,12,Santa Rosa
060900,06,09,00,San Ignacio
060901,06,09,01,San Ignacio
060902,06,09,02,Chirinos
060903,06,09,03,Huarango
060904,06,09,04,La Coipa
060905,06,09,05,Namballe
060906,06,09,06,San Jose de Lourdes
060907,06,09,07,Tabaconas
061000,06,10,00,San Marcos
061001,06,10,01,Pedro Galvez
061002,06,10,02,Chancay
061003,06,10,03,Eduardo Villanueva
061004,06,10,04,Gregorio Pita
061005,06,10,05,Ichocan
061006,06,10,06,Jose Manuel Quiroz
061007,06,10,07,Jose Sabogal
061100,06,11,00,San Miguel
061101,06,11,01,San Miguel
061102,06,11,02,Bolivar
061103,06,11,03,Calquis
061104,06,11,04,Catilluc
061105,06,11,05,El Prado
061106,06,11,06,La Florida
061107,06,11,07,Llapa
061108,06,11,08,Nanchoc
061109,06,11,09,Niepos
061110,06,11,10,San Gregorio
061111,06,11,11,San Silvestre de Cochan
061112,06,11,12,Tongod
061113,06,11,13,Union Agua Blanca
061200,06,12,00,San Pablo
061201,06,12,01,San Pablo
061202,06,12,02,San Bernardino
061203,06,12,03,San Luis
061204,06,12,04,Tumbaden
061300,06,13,00,Santa Cruz
061301,06,13,01,Santa Cruz
061302,06,13,02,Andabamba
061303,06,13,03,Catache
061304,06,13,04,Chancaybaños
061305,06,13,05,La Esperanza
061306,06,13,06,Ninabamba
061307,06,13,07,Pulan
061308,06,13,08,Saucepampa
061309,06,13,09,Sexi
061310,06,13,10,Uticyacu
061311,06,13,11,Yauyucan
070000,07,00,00,Callao
070100,07,01,00,Prov. Const. del Callao
070101,07,01,01,Callao
070102,07,01,02,Bellavista
070103,07,01,03,Carmen de la Legua Reynoso
070104,07,01,04,La Perla
070105,07,01,05,La Punta
070106,07,01,06,Ventanilla
070107,07,01,07,Mi Perú
080000,08,00,00,Cusco
080100,08,01,00,Cusco
080101,08,01,01,Cusco
080102,08,01,02,Ccorca
080103,08,01,03,Poroy
080104,08,01,04,San Jeronimo
080105,08,01,05,San Sebastian
080106,08,01,06,Santiago
080107,08,01,07,Saylla
080108,08,01,08,Wanchaq
080200,08,02,00,Acomayo
080201,08,02,01,Acomayo
080202,08,02,02,Acopia
080203,08,02,03,Acos
080204,08,02,04,Mosoc Llacta
080205,08,02,05,Pomacanchi
080206,08,02,06,Rondocan
080207,08,02,07,Sangarara
080300,08,03,00,Anta
080301,08,03,01,Anta
080302,08,03,02,Ancahuasi
080303,08,03,03,Cachimayo
080304,08,03,04,Chinchaypujio
080305,08,03,05,Huarocondo
080306,08,03,06,Limatambo
080307,08,03,07,Mollepata
080308,08,03,08,Pucyura
080309,08,03,09,Zurite
080400,08,04,00,Calca
080401,08,04,01,Calca
080402,08,04,02,Coya
080403,08,04,03,Lamay
080404,08,04,04,Lares
080405,08,04,05,Pisac
080406,08,04,06,San Salvador
080407,08,04,07,Taray
080408,08,04,08,Yanatile
080500,08,05,00,Canas
080501,08,05,01,Yanaoca
080502,08,05,02,Checca
080503,08,05,03,Kunturkanki
080504,08,05,04,Langui
080505,08,05,05,Layo
080506,08,05,06,Pampamarca
080507,08,05,07,Quehue
080508,08,05,08,Tupac Amaru
080600,08,06,00,Canchis
080601,08,06,01,Sicuani
080602,08,06,02,Checacupe
080603,08,06,03,Combapata
080604,08,06,04,Marangani
080605,08,06,05,Pitumarca
080606,08,06,06,San Pablo
080607,08,06,07,San Pedro
080608,08,06,08,Tinta
080700,08,07,00,Chumbivilcas
080701,08,07,01,Santo Tomas
080702,08,07,02,Capacmarca
080703,08,07,03,Chamaca
080704,08,07,04,Colquemarca
080705,08,07,05,Livitaca
080706,08,07,06,Llusco
080707,08,07,07,Quiñota
080708,08,07,08,Velille
080800,08,08,00,Espinar
080801,08,08,01,Espinar
080802,08,08,02,Condoroma
080803,08,08,03,Coporaque
080804,08,08,04,Ocoruro
080805,08,08,05,Pallpata
080806,08,08,06,Pichigua
080807,08,08,07,Suyckutambo
080808,08,08,08,Alto Pichigua
080900,08,09,00,La Convencion
080901,08,09,01,Santa Ana
080902,08,09,02,Echarate
080903,08,09,03,Huayopata
080904,08,09,04,Maranura
080905,08,09,05,Ocobamba
080906,08,09,06,Quellouno
080907,08,09,07,Kimbiri
080908,08,09,08,Santa Teresa
080909,08,09,09,Vilcabamba
080910,08,09,10,Pichari
080911,08,09,11,Inkawasi
080912,08,09,12,Villa Virgen
081000,08,10,00,Paruro
081001,08,10,01,Paruro
081002,08,10,02,Accha
081003,08,10,03,Ccapi
081004,08,10,04,Colcha
081005,08,10,05,Huanoquite
081006,08,10,06,Omacha
081007,08,10,07,Paccaritambo
081008,08,10,08,Pillpinto
081009,08,10,09,Yaurisque
081100,08,11,00,Paucartambo
081101,08,11,01,Paucartambo
081102,08,11,02,Caicay
081103,08,11,03,Challabamba
081104,08,11,04,Colquepata
081105,08,11,05,Huancarani
081106,08,11,06,Kosñipata
081200,08,12,00,Quispicanchi
081201,08,12,01,Urcos
081202,08,12,02,Andahuaylillas
081203,08,12,03,Camanti
081204,08,12,04,Ccarhuayo
081205,08,12,05,Ccatca
081206,08,12,06,Cusipata
081207,08,12,07,Huaro
081208,08,12,08,Lucre
081209,08,12,09,Marcapata
081210,08,12,10,Ocongate
081211,08,12,11,Oropesa
081212,08,12,12,Quiquijana
081300,08,13,00,Urubamba
081301,08,13,01,Urubamba
081302,08,13,02,Chinchero
081303,08,13,03,Huayllabamba
081304,08,13,04,Machupicchu
081305,08,13,05,Maras
081306,08,13,06,Ollantaytambo
081307,08,13,07,Yucay
090000,09,00,00,Huancavelica
090100,09,01,00,Huancavelica
090101,09,01,01,Huancavelica
090102,09,01,02,Acobambilla
090103,09,01,03,Acoria
090104,09,01,04,Conayca
090105,09,01,05,Cuenca
090106,09,01,06,Huachocolpa
090107,09,01,07,Huayllahuara
090108,09,01,08,Izcuchaca
090109,09,01,09,Laria
090110,09,01,10,Manta
090111,09,01,11,Mariscal Caceres
090112,09,01,12,Moya
